STRUCTURE_SMILES,-log10(Dose_MRDD_mmol)
C1=C(OC)C=C3C(=C1)N(C(=O)C2=CC=C(Cl)C=C2)C(C)=C3CC(=O)OCC(O)=O,2.141788004617517
C1=CC=C3C(=C1)OC(=O)C(C(CC(C)=O)C2=CC=C(N(=O)=O)C=C2)=C3O,3.2471449865476565
C1(=CC=C(C=C1)O)NC(C)=O,0.4804743488477117
C1=CC=CC=C1NC(C)=O,1.4318884608465292
N1N=C(S(N)(=O)=O)SC=1NC(C)=O,1.1241163877943128
O=S(=O)(C1=CC=C(C=C1)C(=O)C)NC(=O)NC2CCCCC2,1.113134544638808
CC(=O)NO,0.6527302746151933
C1=CC=C3C(=C1)N(CCCN2CCN(CCO)CC2)C4=C(S3)C=CC(C(C)=O)=C4,1.6144334329127077
[Na+].O=S(=O)([N-]C(C)=O)c1cc(N)ccc1S(=O)(=O)c2ccc(N)cc2,0.7684925795831592
C1(I)=CC(I)=C(NC(C)=O)C(I)=C1C(O)=O,0.7457477778244346
CC(=O)N[C@@H](CS)C(=O)O,1.2127065825032206
CC(=O)O[C@H]1C[C@@H](O[C@H](C)[C@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@@H]8[C@@H](C)O[C@@H](O[C@@H]5C[C@H]6CC[C@H]4[C@@]7(O)CC[C@H](C=3COC(=O)C=3)[C@@]7(C)CC[C@@H]4[C@@]6(C)CC5)C[C@@H]8O,5.384416245272665
C1=CC=C2C(=C1)N(CCCN(C)C)C3=C(S2)C=CC(C(C)=O)=C3,3.3377331032702515
C1(C)=C(OC)C=C(C)C(C=CC(C)=CC=CC(C)=CC(O)=O)=C1C,2.416879173922536
COC(=O)[C@@H]4c3cc2C(=O)c1cccc(O)c1C(=O)c2c(O)c3[C@H](C[C@]4(O)CC)O[C@@H]7O[C@@H](C)[C@@H](O[C@H]6C[C@H](O)[C@H](O[C@H]5CCC(=O)[C@H](C)O5)[C@H](C)O6)[C@H](C7)N(C)C,2.4781216169530054
C(=CCN1CCCC1)(C2=CC=C(C)C=C2)C3=CC=CC(C=CC(O)=O)=N3,2.8153985026646655
N1C(N)=NC2=C(C1=O)N=CN2COCCO,1.228725693283433
NC1=NC=NC2=C1N=CN2,0.9546499117056875
NC1=NC=NC2=C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,2.1258736125580078
OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]3O[C@@H](n2cnc1c(N)ncnc12)[C@H](O)[C@@H]3O,3.404132999681779
OP(O)(=O)OC[C@H]3O[C@@H](n2cnc1c(N)ncnc12)[C@@H](O)[C@@H]3O,3.018162026435817
C2=CC=CC(C(C(=O)OCCN(CC)CC)C1=CC=CC=C1)=C2,1.6182824478421662
C1(N)=CC=C3C(=C1)C(=O)N(C2=CC=CC=C2C)C(CF)=N3,2.4522470344155147
COC(=O)NC=1Nc2ccc(cc2N=1)SCCC,1.2999370075821115
OC(C1=CC=C(C(=C1)CO)O)CNC(C)(C)C,2.652240533845308
C=CCN1C(=O)C(CC(C)C)NC1=S,0.7249141410032403
C1(OCC=C)=CC=C(CC(=O)O)C=C1Cl,2.132651132189588
[C@]12([C@]([C@@]3(CCC4[C@@]([C@@]([C@H](C1)O)3[H])(CCC(=O)C=4)C)[H])(CC[C@H]2C(=O)CO)[H])C=O,4.636192799187596
OC(P(O)(O)=O)(CCCN)P(O)(O)=O,2.5722409929727585
O[C@@H]3C\C(=C\C=C2/CCC[C@@]1(C)[C@H]2CC[C@@H]1[C@H](C)CCCC(C)C)C(=C)[C@@H](O)C3,5.12562986549504
N3=NN(CC)C(=O)N3CCN2CCC(COC)(N(C1=CC=CC=C1)C(=O)CC)CC2,3.2304668350044796
C2=CC=C(Cl)C(N(CC=C)C1=NCCN1)=C2Cl,2.307765741441146
O=C1NC(=O)NC(=O)C1(CC=C)CC=C,1.7960654436686017
N1C=NC2=C(C=1O)C=NN2,1.010043179133745
C=CC[C@]2(O)CC[C@H]3[C@@H]4CC\C1=C\CCC[C@@H]1[C@H]4CC[C@]23C,3.0798729313949726
O=C(CC)O[C@@]1([C@@]2=CC=CC=C2)[C@@H](C)CN(C)CC1,2.718267953959696
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,2.692457808221428
C1=C(Cl)C=C3C(=C1)N4C(CN=C3C2=CC=CC=C2)=NN=C4C,3.26691148141041
O[C@@H]1CC(=O)[C@H](CCCCCCC(O)=O)[C@H]1/C=C/[C@@H](O)CCCCC,6.549592913150299
N1=C(N(C)C)N=C(N(C)C)N=C1N(C)C,1.5895994640489262
NC13CC(CC(C3)C2)CC2C1,1.3555724207669406
C1C(=NNC(N)=N)C=CC(=NNC(N)=S)C=1,3.152553521116712
[Cl-].[Cl-].Clc2ccccc2C[N+](CC)(CC)CCNC(=O)C(=O)NCC[N+](Cc1ccccc1Cl)(CC)CC,2.5615231848433226
O[C@@H]2CC[C@@H](NCc1cc(Br)cc(Br)c1N)CC2,2.276579920804272
O=C(O)[C@@H]2N3C(=O)[C@@H](/N=C/N1CCCCCC1)[C@H]3SC2(C)C,1.3363615495157606
P(O)(=O)(O)SCCNCCCN,0.9399309107518196
NCC[C@H](O)C(=O)N[C@@H]3C[C@H](N)[C@@H](O[C@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H]3O[C@H]2O[C@H](CO)[C@@H](O)[C@H](N)[C@H]2O,1.591511677880821
OC(=O)CCCCCN,-0.1831815714434616
C3=C(C(=O)NC(CCC(O)=O)C(O)=O)C=CC(NCC1=NC2C(N=C1)=NC(N)=NC=2N)=C3,4.723214832645549
N2C(=O)CCC(C1=CC=C(N)C=C1)(CC)C2=O,1.1432922424965688
C1=C(N)C=CC(C(=O)NCC(O)=O)=C1,1.2882208233048567
